id,key,subject,sender,recipient,date,msg,tags,concepts,class
99,odbc://SAS_1970s/dbo.SAS_Docs/1522887,SAUDI-UAE BORDER AGREEMENT AND OIL COMPANY CONCESSIONS,LONDON,STATE,30-Aug-74,,"PBOR, SA, TC, (OMAN), (SUWAAIDI)","BOUNDARY DETERMINATION, AGREEMENTS, DIPLOMATIC DISCUSSIONS, PETROLEUM  CONCESSIONS",CONFIDENTIAL
100,odbc://SAS_1970s/dbo.SAS_Docs/1404165,CONCERN ABOUT NUCLEAR WEAPONS,TOKYO,STATE,28-Aug-74,,"MARR, JA",,CONFIDENTIAL
101,odbc://SAS_1970s/dbo.SAS_Docs/1407433,"JAPANESE COLD STEEL ROLLING MILL, ETC., TO CHINA - IL 1305/1565",OECD PARIS,STATE,28-Aug-74,,"ESTC, CH, JA, COCOM","STEEL, IL 1305",CONFIDENTIAL
102,odbc://SAS_1970s/dbo.SAS_Docs/1429910,TENNECO FOUR,BEIRUT,KHARTOUM STATE,27-Aug-74,,"PINS, CASC, ET, LE, TENNECO FOUR",,CONFIDENTIAL
103,odbc://SAS_1970s/dbo.SAS_Docs/1430045,REQUEST FOR RECORD CHECK,TOKYO,DEA BANGKOK,26-Aug-74,,"SNAR, TH, JA","DRUG CONTROL, ARMS, POLICE INVESTIGATIONS",LIMITED OFFICIAL USE
104,odbc://SAS_1970s/dbo.SAS_Docs/1434330,,STATE,CINCUSNAVEUR LONDON ENG,26-Aug-74,,"MARR, PFOR, SP, US",,SECRET
105,odbc://SAS_1970s/dbo.SAS_Docs/1557114,TENNECO FOUR,KHARTOUM,BEIRUT,30-Aug-74,,"PINS, CASC, ET, US, TENNECO, (MAHAMOUD), (ZEIN)","TENNECO FOUR, PRISONERS RELEASE, MEETINGS",CONFIDENTIAL
106,odbc://SAS_1970s/dbo.SAS_Docs/1443699,TENNECO FOUR,STATE,ADDIS ABABA,30-Aug-74,,"PINS, CASC, ET","KIDNAPPING, HOSTAGES, PRISONERS RELEASE, TENNECO FOUR",CONFIDENTIAL
107,odbc://SAS_1970s/dbo.SAS_Docs/1442608,SEIZED WEAPONS,TOKYO,DEA,30-Aug-74,,"SNAR, JA, US, TH","DRUG CONTROL, ARMS, POLICE INVESTIGATIONS",LIMITED OFFICIAL USE
108,odbc://SAS_1970s/dbo.SAS_Docs/1446029,TENNECO FOUR,STATE,ADDIS ABABA,30-Aug-74,,"PINS, CASC, ET, LE, ELF","KIDNAPPING, HOSTAGES, PRISONERS RELEASE, TENNECO FOUR",CONFIDENTIAL
109,odbc://SAS_1970s/dbo.SAS_Docs/1438574,SPANISH SAHARA: MOROCCAN OFFICIAL'S COMMENTS ON MADRID TALKS,ALGIERS,STATE,26-Aug-74,,"PFOR, SS, (EL-FATHEMY)","TERRITORIAL CLAIMS, SELFDETERMINATION, NEGOTIATIONS, FISHING  AGREEMENTS",CONFIDENTIAL
110,odbc://SAS_1970s/dbo.SAS_Docs/1669351,OBSERVATION TRIP TO DIEGO GARCIA,LONDON,STATE,29-Aug-74,,"PFOR, MILI, MOPS, TH, UK, US, XO","MILITARY PERSONNEL, MILITARY BASES, VISITS, DIEGO GARCIA, OBSERVATION  AIRCRAFT",CONFIDENTIAL
111,odbc://SAS_1970s/dbo.SAS_Docs/1666975,EXPANSION OF ACOUSTIC RESEARCH PROGRAM OFF ELEUTHERA,NASSAU,STATE,29-Aug-74,,"MARR, PLOS, US, BF","NAVAL FORCES, INTERNATIONAL LAW, TERRITORIAL SEA LIMIT, OCEANOGRAPHIC  RESEARCH, PROGRAMS (PROJECTS), ARCHIPELAGOS",CONFIDENTIAL
112,odbc://SAS_1970s/dbo.SAS_Docs/1682138,GENEVA CONFERENCE ON LAW OF WAR - KHMER REPRESENTATION ISSUE,ATHENS,STATE,27-Aug-74,,"PARM, ICRC","FOREIGN POLICY POSITION, GENEVA CONVENTIONS, LAW OF WAR, MEMBER        ADMISSIONS",CONFIDENTIAL
113,odbc://SAS_1970s/dbo.SAS_Docs/1400910,,JIDDA,STATE,31-Aug-74,,"EFIN, SA, TRSY",GOVERNMENT BONDS,SECRET
114,odbc://SAS_1970s/dbo.SAS_Docs/1400942,TENNECO FOUR,KHARTOUM,BEIRUT,31-Aug-74,,"PINS, CASC, ET","KIDNAPPING, NEGOTIATIONS, TENNECO FOUR, PRISONERS RELEASE",CONFIDENTIAL
115,odbc://SAS_1970s/dbo.SAS_Docs/1400829,TENNECO FOUR,BEIRUT,KHARTOUM,31-Aug-74,,"PINS, CASC, ET, LE","KIDNAPPING, NEGOTIATIONS, TENNECO FOUR",CONFIDENTIAL
116,odbc://SAS_1970s/dbo.SAS_Docs/1401363,THREAT TO LIVES OF DEA AGENTS BY RAFAEL ALARCON PINOCHET,STATE,SANTIAGO,31-Aug-74,,"SNAR, CI, (ALARCON PINOCHET, RAFAEL)","DRUG TRAFFIC, THREATS, DEATHS, CUSTOMS OFFICIALS, ARRESTS",SECRET
117,odbc://SAS_1970s/dbo.SAS_Docs/1558008,"DISSATISFACTION OF PRESIDENT LAUGERUD WITH MILGROUP EYES ONLY FOR  ACTING ASSISTANT SECRETARY, ARA",GUATEMALA,STATE,30-Aug-74,,"MILI, GT, (RICE)","MILITARY PERSONNEL, ARMED FORCES",CONFIDENTIAL
118,odbc://SAS_1970s/dbo.SAS_Docs/1484733,THREAT TO LIVES OF DEA AGENTS BY RAFAEL ALARCON PINOCHET,SANTIAGO,STATE,30-Aug-74,,"SNAR, CI, US, (ALARCON PINOCHET, RAFAEL)","DRUG TRAFFIC, ARRESTS, THREATS, CUSTOMS OFFICIALS",SECRET
119,odbc://SAS_1970s/dbo.SAS_Docs/1521978,HARCOS/FLETCHER,NEW DELHI,STATE,30-Aug-74,,"CASC, PFOR, IN, (HARCOS), (FLETCHER)",AGREEMENT DRAFT,LIMITED OFFICIAL USE
120,odbc://SAS_1970s/dbo.SAS_Docs/1558087,TENNECO FOUR,KHARTOUM,BEIRUT,30-Aug-74,,"PINS, CASC, ET","PARAMILITARY FORCES, KIDNAPPING, HOSTAGES, PRISONERS RELEASE, TENNECO  FOUR",CONFIDENTIAL
121,odbc://SAS_1970s/dbo.SAS_Docs/1557640,APPREHENSION OF PERSONS RESPONSIBLE FOR RECENT BOMB ATTACKS AGAINST US  INSTALLATIONS IN LEBANON,BEIRUT,STATE,30-Aug-74,,"ASEC, PINS, US, LE","PARAMILITARY FORCES, EXPLOSIONS, ARRESTS",LIMITED OFFICIAL USE
122,odbc://SAS_1970s/dbo.SAS_Docs/1557650,TENNECO FOUR,BEIRUT,KHARTOUM,30-Aug-74,,"PINS, CASC, ET","PARAMILITARY FORCES, KIDNAPPING, HOSTAGES, PRISONERS RELEASE,  NEGOTIATIONS, TENNECO FOUR",CONFIDENTIAL
123,odbc://SAS_1970s/dbo.SAS_Docs/1689167,TENNECO FOUR,BEIRUT,KHARTOUM,29-Aug-74,,"PINS, CASC, ET, LE, TENNECO FOUR","PARAMILITARY FORCES, KIDNAPPING, HOSTAGES, PRISONERS RELEASE,  NEGOTIATIONS",CONFIDENTIAL
124,odbc://SAS_1970s/dbo.SAS_Docs/1593196,LLEGED PLOT TO KIDNAP HIGH U.S. OFFICIAL IN ISRAEL,STATE,TEL AVIV,29-Aug-74,,ASEC,n/a,SECRET
125,odbc://SAS_1970s/dbo.SAS_Docs/1404377,INTERESTED PARTY TELEGRAM: DROBOT CASE FOR DUNCAN-PETERS,STATE,NEW DELHI,28-Aug-74,,"PFOR, IN, WESTINGHOUSE, (DROBOT, JAN)",,LIMITED OFFICIAL USE
126,odbc://SAS_1970s/dbo.SAS_Docs/1427483,FISCAL YEAR 1976 NARCOTICS PROGRAM FOR JORDAN,AMMAN,STATE,27-Aug-74,,"SNAR, JO, US","NARCOTICS, DRUG CONTROL, FOREIGN ASSISTANCE APPROPRIATIONS, PROGRAMS  (PROJECTS)",LIMITED OFFICIAL USE
127,odbc://SAS_1970s/dbo.SAS_Docs/1431982,REPORTED PLANS TO ASSASSINATE AMBASSADOR GODLEY IN BEIRUT,STATE,BEIRUT,26-Aug-74,,ASEC,n/a,SECRET
128,odbc://SAS_1970s/dbo.SAS_Docs/1457148,,STATE,ROME,23-Aug-74,,"MARR, PBOR, MOPS, IT",,CONFIDENTIAL
129,odbc://SAS_1970s/dbo.SAS_Docs/1451710,JAPANESE COMPUTERIZED NUMERICAL CONTROLS TO USSR - IL 1091,STATE,OECD PARIS,23-Aug-74,,"ESTC, JA, UR, COCOM","DATA PROCESSING EQUIPMENT, STRATEGIC TRADE CONTROLS, EXCEPTIONS LIST",CONFIDENTIAL
130,odbc://SAS_1970s/dbo.SAS_Docs/1447198,AMIR OF QATAR MOVING TOWARD DESIGNATION OF CROWN PRINCE,KUWAIT,STATE,24-Aug-74,,"PINS, QA, (THANI, KHALIFA BIN HAMAD AL)","CHIEF OF STATE, POLITICAL SITUATION",CONFIDENTIAL
131,odbc://SAS_1970s/dbo.SAS_Docs/1460958,OBSERVATION TRIP TO DIEGO GARCIA,LONDON,STATE,23-Aug-74,,"PFOR, PINT, MILI, MOPS, TH, XO, UK","MILITARY BASES, VISITS, DIEGO GARCIA",CONFIDENTIAL
132,odbc://SAS_1970s/dbo.SAS_Docs/1463193,DIEGO GARCIA DEPT PASS CINCPAC,BANGKOK,STATE,23-Aug-74,,"MARR, TH, XO","FOREIGN RELATIONS, NAVAL FORCES, DIEGO GARCIA, MILITARY BASES,  FOREIGN POLICY POSITION",SECRET
133,odbc://SAS_1970s/dbo.SAS_Docs/1452288,DIEGO GARCIA,STATE,CINCPAC,23-Aug-74,,"MARR, TH, XO, IN, US, UR","CONSTRUCTION, NAVAL FORCES, AGREEMENTS, TROOP DEPLOYMENT, DIEGO  GARCIA, MILITARY BASES",SECRET
134,odbc://SAS_1970s/dbo.SAS_Docs/1687305,BDC V. SCHLESINGER--AMBASSADLETTER LETTER AND GUIDELINES MEMO,BERLIN,"STATE
BONN",23-Aug-74,,"PGOV, WB, GE","INTELLIGENCE COLLECTION, CLASSIFIED INFORMATION, SECURITY CONTROLS",SECRET
135,odbc://SAS_1970s/dbo.SAS_Docs/1447889,W& W: THE MAESTRI FAMILY,WELLINGTON,STATE,23-Aug-74,,"CASC, CPAS, PFOR, SNAR, NZ",n/a,CONFIDENTIAL
136,odbc://SAS_1970s/dbo.SAS_Docs/1687551,MIDDLE EAST FORCE STATIONING AGREEMENT,STATE,"MANAMA INFO SECDEF
CNO",23-Aug-74,,"MARR, BA, US","LAW, CITIZEN PROTECTION, MILITARY PERSONNEL, CONSULAR LEGAL  ASSISTANCE, MILITARY BASE AGREEMENTS, STATUS OF FORCES AGREEMENTS, ARRESTS",CONFIDENTIAL
137,odbc://SAS_1970s/dbo.SAS_Docs/1451093,ANNUAL LIVE OAK ORIENTATION VISIT TO WASHINGTON/ NORFOLK,STATE,LIVE OAK SHAPE,23-Aug-74,,"PGOV, MARR, WB, US, UK, FR, GE, NATO","ALLIANCE, PROGRAMS (PROJECTS), LIVE OAK SHAPE, VISITS",CONFIDENTIAL
138,odbc://SAS_1970s/dbo.SAS_Docs/1454247,PRED/NARCOTICS: JUSTICE DEA PROPOSAL,STATE,HONG KONG,23-Aug-74,,"SNAR, HK, DEA","DRUG TRAFFIC, DRUG CONTROL, PERSONNEL",CONFIDENTIAL
139,odbc://SAS_1970s/dbo.SAS_Docs/1471385,BELGIAN AUTOMATIC DATA PROCESSING MACHINE TO CZECHOSLOVAKIA - IL 1565,OECD PARIS,STATE,22-Aug-74,,"ESTC, BE, GE, CZ, COCOM","DATA PROCESSING EQUIPMENT, EXCEPTIONS LIST",CONFIDENTIAL
140,odbc://SAS_1970s/dbo.SAS_Docs/1467501,EXPORT OF COMPUTER PARTS TO ROMANIA - IL 1565,STATE,OECD PARIS,22-Aug-74,,"ESTC, RO, COCOM","COMPUTERS, EXCEPTIONS LIST, STRATEGIC TRADE CONTROLS",CONFIDENTIAL
141,odbc://SAS_1970s/dbo.SAS_Docs/1492851,DATT ASSIGNMENT,CANBERRA,STATE,21-Aug-74,,"MILI, AS, (WITT), (NUNEMAKER), (DETOUR)","MILITARY PERSONNEL, PERSONNEL ASSIGNMENTS, MILITARY ATTACHES,  REORGANIZATIONS",LIMITED OFFICIAL USE
142,odbc://SAS_1970s/dbo.SAS_Docs/1490911,CHECKIANG REVOLUTIONARY UNITY HARD TO ACHIEVE,HONG KONG,STATE,21-Aug-74,,"PINT, CH","PROVINCE, INTELLIGENCE COLLECTION, POLITICAL SITUATION, PUBLIC  ATTITUDES, POLITICAL LEADERS, SOCIAL CHANGE, PARTY MEETINGS",CONFIDENTIAL
143,odbc://SAS_1970s/dbo.SAS_Docs/1487038,UK TRANSISTORS TO HUNGARY - IL 1545,OECD PARIS,STATE,21-Aug-74,,"ESTC, UK, HU, COCOM","SEMICONDUCTOR DEVICES, STRATEGIC TRADE CONTROLS",CONFIDENTIAL
144,odbc://SAS_1970s/dbo.SAS_Docs/1492885,ROC RELATIONS WITH SOUTHEAST ASIA - THE VIEW FROM BANGKOK,BANGKOK,STATE TAIPEI,21-Aug-74,,"PFOR, TW, XC, TH, MY, CH","RECOGNITION, DIPLOMATIC RELATIONS ESTABLISHMENT, FOREIGN POLICY  POSITION, POLITICAL SITUATION",SECRET
145,odbc://SAS_1970s/dbo.SAS_Docs/1480140,PRED - JUSTICE/DEA STAFFING,STATE,BOGOTA,21-Aug-74,,"SNAR, APER, CO, US, DEA","DRUG CONTROL, ESTABLISHMENT OF OFFICES, PERSONNEL MANAGEMENT",CONFIDENTIAL
146,odbc://SAS_1970s/dbo.SAS_Docs/1500062,"OPERATION BUCCANEER, SITREP NUMBER 8 PERSONAL TO RADM GHORMLEY",KINGSTON,DEA,20-Aug-74,,"SNAR, PINS, CASC, JN, US, (SHANLEY, WALLACE), (MATALON)","DRUG CONTROL, EQUIPMENT, PERSONNEL, SITREP, POLICE INVESTIGATIONS,  MEETINGS, POLITICAL SITUATION",LIMITED OFFICIAL USE
147,odbc://SAS_1970s/dbo.SAS_Docs/1510575,UK DIGITAL COMPUTER TO POLAND - IL 1565,OECD PARIS,STATE,19-Aug-74,,"ESTC, PL, UK, COCOM","IL 1565, COMPUTERS",CONFIDENTIAL
148,odbc://SAS_1970s/dbo.SAS_Docs/1510567,UK DIGITAL COMPUTER TO POLAND - IL 1565,OECD PARIS,STATE,19-Aug-74,,"ESTC, PL, UK, COCOM","IL 1565, COMPUTERS, EXCEPTIONS LIST",CONFIDENTIAL
149,odbc://SAS_1970s/dbo.SAS_Docs/1510266,"MSG, SGT. THOMAS WOODSON",MOSCOW,STATE,19-Aug-74,,ASEC,n/a,LIMITED OFFICIAL USE
150,odbc://SAS_1970s/dbo.SAS_Docs/1507899,GERMAN ELECTRON TUBES TO CHINA - IL 1555,STATE,OECD PARIS,19-Aug-74,,"ESTC, GE, CH, COCOM","IL 1555, SEMICONDUCTOR DEVICES, EXCEPTIONS LIST",CONFIDENTIAL
151,odbc://SAS_1970s/dbo.SAS_Docs/1448152,HARCOS/FLETCHER,NEW DELHI,STATE,24-Aug-74,,"PFOR, CASC, IN, (HARCOS), (FLETCHER)","CITIZEN PROTECTION, PRISONERS WELFARE, HOUSE ARREST, TRIALS",CONFIDENTIAL
152,odbc://SAS_1970s/dbo.SAS_Docs/1452123,USAF INSPECTION TEAM VISIT EMBASSY FOR AMBASSADOR,STATE,BANGKOK,23-Aug-74,,"MILI, OTRA, TH",MILITARY VISITS,CONFIDENTIAL
153,odbc://SAS_1970s/dbo.SAS_Docs/1682395,NUCLEAR WEAPONS,TOKYO,STATE,21-Aug-74,,"MARR, JA","COURTS MARTIAL, HUMAN RIGHTS, INVESTIGATIONS, MIDWAY, NUCLEAR WEAPONS, PUBLIC ATTITUDES",CONFIDENTIAL
154,odbc://SAS_1970s/dbo.SAS_Docs/1494528,GAO INQUIRY ON PHILIPPINE POLITICAL PRISONERS,STATE,MANILA,20-Aug-74,,"PINS, AINF, APUB, RP, US, GAO","DOCUMENTS, GOVERNMENT AGENCIES, PUBLICATIONS PROCUREMENT, POLITICAL  PRISONERS",CONFIDENTIAL
155,odbc://SAS_1970s/dbo.SAS_Docs/1510227,FOODGRAIN SITUATION: SOVIET ASSISTANCE,NEW DELHI,STATE,19-Aug-74,,"EAGR, IN, UR","FOREIGN ASSISTANCE, FOOD ASSISTANCE, FEED GRAINS",SECRET
156,odbc://SAS_1970s/dbo.SAS_Docs/1681930,EMBASSY COMMENT ON DRAFT NIE 57-2-74,PHNOM PENH,STATE,19-Aug-74,,"PFOR, CB, UN, PFOR","CONTINGENCY PLANNING, FOREIGN POLICY POSITION, INTELLIGENCE            ASSESSMENTS, INTELLIGENCE COLLECTION, MEETING REPORTS, NIE, POLITICAL SITUATION",SECRET
157,odbc://SAS_1970s/dbo.SAS_Docs/1514249,,JIDDA,STATE,18-Aug-74,,"PFOR, MASS, US, YE, SA, JO",,SECRET
158,odbc://SAS_1970s/dbo.SAS_Docs/1517881,RUMORED VISIT TO USSR BY MME CHIANG CHING-KUO,HONG KONG,STATE TAIPEI,17-Aug-74,,"PFOR, PINT, OVIP, TW, UR, (CHIANG CHING-KUO)",VISITS,SECRET
159,odbc://SAS_1970s/dbo.SAS_Docs/1519116,PORTUGUESE-FRELIMO NEGOTIATIONS,DAR ES SALAAM,STATE,17-Aug-74,,"PFOR, PINS, PDEV, MZ, PO, TZ, FRELIMO, (SOARES)","INDEPENDENCE, MEETINGS, VISITS, NEGOTIATIONS, DIPLOMATIC DISCUSSIONS",CONFIDENTIAL
160,odbc://SAS_1970s/dbo.SAS_Docs/1514112,ARAPUR,STATE,NEW DELHI,17-Aug-74,,"TECH, IN, US","TECHNICAL ASSISTANCE, NUCLEAR FUELS, NUCLEAR POWER PLANTS, TARAPUR",CONFIDENTIAL
161,odbc://SAS_1970s/dbo.SAS_Docs/1518281,TARAPUR,NEW DELHI,STATE,17-Aug-74,,"TECH, IN, US","TECHNICAL ASSISTANCE, NUCLEAR FUELS, NUCLEAR POWER PLANTS, TARAPUR",CONFIDENTIAL
162,odbc://SAS_1970s/dbo.SAS_Docs/1518114,,AMMAN,STATE,17-Aug-74,,"CVIS, ASEC",n/a,CONFIDENTIAL
163,odbc://SAS_1970s/dbo.SAS_Docs/1518325,SAUDI AND JORDANIAN SUPPORT FOR NORTH YEMEN,SANAA,STATE,17-Aug-74,,"PFOR, US, YE, SA, JO","MILITARY ASSISTANCE, PROWEST, MILITARY EQUIPMENT",SECRET
164,odbc://SAS_1970s/dbo.SAS_Docs/1518099,,AMMAN,STATE,17-Aug-74,,"CVIS, ASEC",n/a,CONFIDENTIAL
165,odbc://SAS_1970s/dbo.SAS_Docs/1513055,YA 74 0001 DA III H 1,TOKYO,n/a,17-Aug-74,,"SNAR, JA, TH, US","DRUG CONTROL, PHOTOGRAPHS, POLICE INVESTIGATIONS",LIMITED OFFICIAL USE
166,odbc://SAS_1970s/dbo.SAS_Docs/1513062,PROPOSED CINCPAC VISIT TO TOKYO FOLLOWING TEL SENT ACTION AMEMB TOKYO  INFO COMUSJAPAN FUCHU,TOKYO,n/a,17-Aug-74,,"MARR, JA, CINCPAC",MILITARY VISITS,CONFIDENTIAL
167,odbc://SAS_1970s/dbo.SAS_Docs/1513795,SOUTHEAST ASIA SEEN THRROUGH A NEW ZEALAND MIRROR,WELLINGTON,STATE,17-Aug-74,,"PFOR, XU, XC, CH, UK, US, ASEAN, FDPA, (FAULKNER)","RECOGNITION, TROOP DEPLOYMENT, MINISTERIAL VISITS, MEETING REPORTS,  POLITICAL SITUATION, MILITARY PLANS",CONFIDENTIAL
168,odbc://SAS_1970s/dbo.SAS_Docs/1513617,,STATE,ATHENS,17-Aug-74,,"PFOR, GR, UR","MILITARY PERSONNEL, AGREEMENTS, MILITARY BASES",SECRET
169,odbc://SAS_1970s/dbo.SAS_Docs/1690894,USAF FACILITY AT AMBERLEY,CANBERRA,STATE,29-Aug-74,,"MARR, AS, US, USAF","POLICIES, AGREEMENT DRAFT, RESEARCH, MILITARY BASE CLOSINGS, SURPLUS  PROPERTY, DIPLOMATIC NOTES, AMBERLEY, SCIENTIFIC GRANTS",CONFIDENTIAL
170,odbc://SAS_1970s/dbo.SAS_Docs/1523457,CHIANG CHING AND EMPRESS WU,STATE,HONG KONG TOKYO,16-Aug-74,,"PINT, CH, (CHIANG CHING), (WU, EMPRESS)","HISTORY, POLITICAL LEADERS, SPEECHES",SECRET
171,odbc://SAS_1970s/dbo.SAS_Docs/1533495,"SEABEE SUPPORT, USLO",HONG KONG,PEKING,16-Aug-74,,ASEC,n/a,LIMITED OFFICIAL USE
172,odbc://SAS_1970s/dbo.SAS_Docs/1533448,,CANBERRA,DEA MANILA,16-Aug-74,,"SNAR, AS, (BECKER, DALE A)","DRUG CONTROL, POLICE INVESTIGATIONS",LIMITED OFFICIAL USE
173,odbc://SAS_1970s/dbo.SAS_Docs/1534066,GREEK-U.S. RELATIONS: VIEWS OF MINISTER TO PRIME MINISTER GEORGE  RALLIS,ATHENS,STATE,16-Aug-74,,"PFOR, GR, (RALLIS, GEORGE)","CABINET, ANTIAMERICAN, POLITICAL STABILITY, DIPLOMATIC DISCUSSIONS,  PUBLIC ATTITUDES, POLITICAL SITUATION, MILITARY PLANS, CENTRAL GOVERNMENT",SECRET
174,odbc://SAS_1970s/dbo.SAS_Docs/1516920,FBIS UNIT IN ATHENS,STATE,ATHENS,16-Aug-74,,"PFOR, CY, US, FBIS","RADIO BROADCAST MONITORING, GOVERNMENT PERSONNEL, ORGANIZATION &  MANAGEMENT, CONTINGENCY PLANNING",CONFIDENTIAL
175,odbc://SAS_1970s/dbo.SAS_Docs/1455828,LOCKOUT,STATE,RABAT,23-Aug-74,,ASEC,n/a,CONFIDENTIAL
176,odbc://SAS_1970s/dbo.SAS_Docs/1517453,COCOM LIST REVIEW - US/UK BILATERALS,STATE,LONDON OECD PARIS,16-Aug-74,,"ESTC, US, UK, COCOM","MEETINGS, EXCEPTIONS LIST, MEETING DELEGATIONS",CONFIDENTIAL
177,odbc://SAS_1970s/dbo.SAS_Docs/1517438,,STATE,OECD PARIS,16-Aug-74,,"ESTC, JA, PL, COCOM","EXCEPTIONS LIST, SEMICONDUCTOR DEVICES",CONFIDENTIAL
178,odbc://SAS_1970s/dbo.SAS_Docs/1517473,,TOKYO,STATE,16-Aug-74,,"MARR, TECH, JA, US",,CONFIDENTIAL
179,odbc://SAS_1970s/dbo.SAS_Docs/1452395,ITINERARIES AND BIOGRAPHIES OF FOUR COMMERCE EXPERTS,STATE,JIDDA,23-Aug-74,,"EAID, SA, US","BIOGRAPHIC INFORMATION, CONSULTANTS, VISITS",CONFIDENTIAL
180,odbc://SAS_1970s/dbo.SAS_Docs/1529583,DEA STAFFING,STATE,BRASILIA,16-Aug-74,,"SNAR, APER, BR, US, DEA","DRUG CONTROL, INSTRUCTIONS, ESTABLISHMENT OF OFFICES, PERSONNEL  ASSIGNMENTS, POLICE FORCES",CONFIDENTIAL
181,odbc://SAS_1970s/dbo.SAS_Docs/1530222,CHIANG CHING AND EMPRESS WU WITH THE CURRENT PROPENSITY OF THE PRC  POLEMICISTS TO,PEKING,STATE,16-Aug-74,,"PINT, CH, (CHIANG CHING)","HISTORY, POLITICAL LEADERS, SPEECHES",SECRET
182,odbc://SAS_1970s/dbo.SAS_Docs/1525234,,STATE,OECD PARIS,16-Aug-74,,"ESTC, FR, BU, COCOM","EXPLORATION, PETROLEUM, EXCEPTIONS LIST, COMMUNICATION LINES",CONFIDENTIAL
183,odbc://SAS_1970s/dbo.SAS_Docs/1582223,CYPRUS - HARTMAN CONSULTATION WITH CALLAGHAN,LONDON,STATE,10-Aug-74,,"PFOR, CY, (HARTMAN), (CALLAGHAN)",DIPLOMATIC DISCUSSIONS,SECRET
184,odbc://SAS_1970s/dbo.SAS_Docs/1523494,IRST LIBERTY FUND CASE: JUSTICE REQUEST FOR SWISS BANK WITNESSES,STATE,BERN,16-Aug-74,,"CFED, PFOR, SZ","TRIALS, BANKS, COURTS",LIMITED OFFICIAL USE
185,odbc://SAS_1970s/dbo.SAS_Docs/1527560,,STATE,OECD PARIS,16-Aug-74,,"ESTC, GE, RO, COCOM",SEMICONDUCTOR DEVICES,CONFIDENTIAL
186,odbc://SAS_1970s/dbo.SAS_Docs/1527592,,STATE,AEC OECD PARIS,16-Aug-74,,"ESTC, UK, PL, COCOM","PLUTONIUM, STRATEGIC TRADE CONTROLS, FISSIONABLE MATERIALS TRANSFER",CONFIDENTIAL
187,odbc://SAS_1970s/dbo.SAS_Docs/1527580,,STATE,OECD PARIS,16-Aug-74,,"ESTC, GE, HU, COCOM","STRATEGIC TRADE CONTROLS, EXCEPTIONS LIST, ELECTRONIC COMPONENTS",CONFIDENTIAL
188,odbc://SAS_1970s/dbo.SAS_Docs/1527573,,STATE,OECD PARIS,16-Aug-74,,"ESTC, GE, PL, COCOM",COMPUTERS,CONFIDENTIAL
189,odbc://SAS_1970s/dbo.SAS_Docs/1527586,,STATE,OECD PARIS,16-Aug-74,,"ESTC, GE, HU, COCOM",COMPUTERS,CONFIDENTIAL
190,odbc://SAS_1970s/dbo.SAS_Docs/1527566,,STATE,OECD PARIS,16-Aug-74,,"ESTC, GE, PL, COCOM",COMPUTERS,CONFIDENTIAL
191,odbc://SAS_1970s/dbo.SAS_Docs/1585039,,TOKYO,DEA,9-Aug-74,,"SNAR, KS, US, HK, (BARISH, JED)","NARCOTICS, ARRESTS",LIMITED OFFICIAL USE
192,odbc://SAS_1970s/dbo.SAS_Docs/1585320,EXILED CHILEAN LABOR MINISTER FIGUEROA PLANS TO VISIT U.S.,STOCKHOLM,STATE SANTIAGO,9-Aug-74,,"PINS, CVIS, ELAB, CI, SW, (FIGUEROA, LUIS)","EXILES, MINISTER COUNSELORS, VISITS, VISAS",LIMITED OFFICIAL USE
193,odbc://SAS_1970s/dbo.SAS_Docs/1585705,CYPRUS,GENEVA,STATE,10-Aug-74,,"PFOR, CY, TU, US, UK, (CALLAGHAN)","POLICIES, GOVERNMENT REACTIONS",SECRET
194,odbc://SAS_1970s/dbo.SAS_Docs/1533255,RELATIONS BETWEEN GVN AND SIERRA LEONE AND DRV DIPLOMATIC CAMPAIGN IN  AFRICA,FREETOWN,STATE SAIGON,16-Aug-74,,"PFOR, VS, SL, VN","FOREIGN RELATIONS, DIPLOMATIC RELATIONS ESTABLISHMENT",CONFIDENTIAL
195,odbc://SAS_1970s/dbo.SAS_Docs/1594905,FORMER CHILEAN MINISTER OF LABOR LUIS FIGUEROA,SANTIAGO,STATE STOCKHOLM,9-Aug-74,,"CVIS, PINS, CI, SW, (FIGUEROA, LUIS)","EXILES, VISAS, VISA REGULATIONS, COMMUNISTS",LIMITED OFFICIAL USE
196,odbc://SAS_1970s/dbo.SAS_Docs/1544260,,ATHENS,STATE,15-Aug-74,,"PFOR, TU, CY, UK, US, (MARVOS)","TROOP DEPLOYMENT, NATIONAL GUARD, MEETINGS, COMBAT OPERATIONS,  MILITARY PLANS",SECRET
197,odbc://SAS_1970s/dbo.SAS_Docs/1538694,,STATE,OECD PARIS,15-Aug-74,,"ESTC, GE, CZ, COCOM",,CONFIDENTIAL
198,odbc://SAS_1970s/dbo.SAS_Docs/1538676,,STATE,OECD PARIS,15-Aug-74,,"ESTC, GE, CZ, COCOM",,CONFIDENTIAL
199,odbc://SAS_1970s/dbo.SAS_Docs/1538667,,STATE,OECD PARIS,15-Aug-74,,"ESTC, FR, BU, COCOM",,CONFIDENTIAL
200,odbc://SAS_1970s/dbo.SAS_Docs/1538686,,STATE,OECD PARIS,15-Aug-74,,"ESTC, UK, PL, COCOM",,CONFIDENTIAL
